street_name,town,lat,lng
ANG MO KIO AVE 10,ANG MO KIO,1.3667607,103.8565486
ANG MO KIO AVE 4,ANG MO KIO,1.3763651,103.8393621
ANG MO KIO AVE 5,ANG MO KIO,1.3768769,103.8472902
ANG MO KIO AVE 1,ANG MO KIO,1.3743332,103.8479021
ANG MO KIO AVE 3,ANG MO KIO,1.3716951,103.8478861
ANG MO KIO AVE 9,ANG MO KIO,1.3801427,103.8476654
ANG MO KIO AVE 8,ANG MO KIO,1.3756606,103.8477779
ANG MO KIO AVE 6,ANG MO KIO,1.3765569,103.8450682
ANG MO KIO ST 52,ANG MO KIO,1.3725641,103.8533049
BEDOK NTH AVE 4,BEDOK,1.3283884,103.9267261
BEDOK NTH AVE 1,BEDOK,1.3284637,103.9350757
BEDOK NTH RD,BEDOK,1.330635,103.9303281
BEDOK STH AVE 1,BEDOK,1.320875,103.9337491
BEDOK RESERVOIR RD,BEDOK,1.3370285,103.9214848
CHAI CHEE ST,BEDOK,1.328415,103.9226738
BEDOK NTH ST 3,BEDOK,1.32573,103.9298777
BEDOK STH RD,BEDOK,1.3215981,103.9395478
CHAI CHEE AVE,BEDOK,1.3250333,103.9246368
NEW UPP CHANGI RD,BEDOK,1.3245193,103.9351317
CHAI CHEE DR,BEDOK,1.3240343,103.9191501
BEDOK STH AVE 2,BEDOK,1.3222585,103.9374146
BEDOK NTH AVE 3,BEDOK,1.330768,103.9344789
BEDOK RESERVOIR VIEW,BEDOK,1.3368264,103.936717
CHAI CHEE RD,BEDOK,1.325311,103.9232153
LENGKONG TIGA,BEDOK,1.3243821,103.91147
BEDOK CTRL,BEDOK,1.3257572,103.9335975
JLN DAMAI,BEDOK,1.3334879,103.9094395
BEDOK NTH AVE 2,BEDOK,1.330768,103.9344789
BEDOK STH AVE 3,BEDOK,1.3259459,103.9451032
SIN MING RD,BISHAN,1.3559014,103.8377447
SIN MING AVE,BISHAN,1.3632469,103.8362326
BISHAN ST 12,BISHAN,1.3463575,103.850828
BISHAN ST 13,BISHAN,1.3493515,103.8539786
BISHAN ST 22,BISHAN,1.3573661,103.8452482
BISHAN ST 24,BISHAN,1.3565862,103.844408
BISHAN ST 23,BISHAN,1.3570608,103.8465231
BRIGHT HILL DR,BISHAN,1.3574913,103.8319525
SHUNFU RD,BISHAN,1.3520019,103.8374497
BT BATOK ST 34,BUKIT BATOK,1.3637652,103.7499928
BT BATOK ST 51,BUKIT BATOK,1.3557055,103.7506292
BT BATOK ST 11,BUKIT BATOK,1.349818,103.7433344
BT BATOK ST 52,BUKIT BATOK,1.3562086,103.7534358
BT BATOK ST 21,BUKIT BATOK,1.3465348,103.7533653
BT BATOK EAST AVE 5,BUKIT BATOK,1.3532617,103.7549128
BT BATOK WEST AVE 6,BUKIT BATOK,1.3534631,103.7429384
BT BATOK CTRL,BUKIT BATOK,1.3503146,103.7497699
BT BATOK WEST AVE 8,BUKIT BATOK,1.3554152,103.739702
BT BATOK EAST AVE 4,BUKIT BATOK,1.3494737,103.758536
BT BATOK ST 31,BUKIT BATOK,1.3589162,103.7511175
BT BATOK ST 25,BUKIT BATOK,1.3436556,103.7609321
BT BATOK EAST AVE 3,BUKIT BATOK,1.3443815,103.7582677
BT BATOK WEST AVE 5,BUKIT BATOK,1.358717,103.7422796
BT BATOK ST 24,BUKIT BATOK,1.3426632,103.7566503
JLN BT HO SWEE,BUKIT MERAH,1.2873866,103.8296988
TELOK BLANGAH DR,BUKIT MERAH,1.2729361,103.807824
BEO CRES,BUKIT MERAH,1.2891612,103.8270425
TELOK BLANGAH CRES,BUKIT MERAH,1.2770566,103.820226
TAMAN HO SWEE,BUKIT MERAH,1.2877548,103.8320224
TELOK BLANGAH RISE,BUKIT MERAH,1.2727546,103.8212924
TELOK BLANGAH WAY,BUKIT MERAH,1.2758577,103.8191846
JLN BT MERAH,BUKIT MERAH,1.2835701,103.8193837
JLN KLINIK,BUKIT MERAH,1.2876274,103.8288073
TELOK BLANGAH HTS,BUKIT MERAH,1.2766698,103.8114559
BT MERAH VIEW,BUKIT MERAH,1.2841648,103.8215886
INDUS RD,BUKIT MERAH,1.2914431,103.8277671
BT MERAH LANE 1,BUKIT MERAH,1.2856468,103.8039272
TELOK BLANGAH ST 31,BUKIT MERAH,1.2751288,103.8067579
MOH GUAN TER,BUKIT MERAH,1.2838786,103.8305259
HAVELOCK RD,BUKIT MERAH,1.2890035,103.8359745
HENDERSON CRES,BUKIT MERAH,1.2888276,103.8217207
BT PURMEI RD,BUKIT MERAH,1.2727517,103.8255559
KIM TIAN RD,BUKIT MERAH,1.2824629,103.8277583
DEPOT RD,BUKIT MERAH,1.2815762,103.8098305
JLN RUMAH TINGGI,BUKIT MERAH,1.2878573,103.8094517
DELTA AVE,BUKIT MERAH,1.2920413,103.8273772
JLN MEMBINA,BUKIT MERAH,1.2834898,103.826682
REDHILL RD,BUKIT MERAH,1.2876447,103.8161531
LENGKOK BAHRU,BUKIT MERAH,1.2869338,103.8137417
ZION RD,BUKIT MERAH,1.2902669,103.8331804
PETIR RD,BUKIT PANJANG,1.3748828,103.7709641
PENDING RD,BUKIT PANJANG,1.3762379,103.7710963
BANGKIT RD,BUKIT PANJANG,1.3776889,103.7741527
SEGAR RD,BUKIT PANJANG,1.3882921,103.7713274
JELAPANG RD,BUKIT PANJANG,1.3858976,103.7672889
SENJA RD,BUKIT PANJANG,1.3866699,103.7617972
FAJAR RD,BUKIT PANJANG,1.3841157,103.7701699
BT PANJANG RING RD,BUKIT PANJANG,1.3864255,103.7645073
SENJA LINK,BUKIT PANJANG,1.3870939,103.7627945
LOMPANG RD,BUKIT PANJANG,1.3798797,103.7655203
GANGSA RD,BUKIT PANJANG,1.377842,103.7663106
TOH YI DR,BUKIT TIMAH,1.3380803,103.7716335
FARRER RD,BUKIT TIMAH,1.3173599,103.8076098
JLN KUKOH,CENTRAL AREA,1.2879319,103.8397507
ROWELL RD,CENTRAL AREA,1.3084431,103.8550979
WATERLOO ST,CENTRAL AREA,1.2987785,103.8515587
NEW MKT RD,CENTRAL AREA,1.2871894,103.8447249
TG PAGAR PLAZA,CENTRAL AREA,1.2760424,103.8426923
QUEEN ST,CENTRAL AREA,1.2995426,103.8534866
BAIN ST,CENTRAL AREA,1.2971072,103.85396
CANTONMENT RD,CENTRAL AREA,1.2757859,103.8409626
TECK WHYE LANE,CHOA CHU KANG,1.3788984,103.7526191
CHOA CHU KANG AVE 4,CHOA CHU KANG,1.3827764,103.7415944
CHOA CHU KANG AVE 3,CHOA CHU KANG,1.3807559,103.742389
CHOA CHU KANG CRES,CHOA CHU KANG,1.4032517,103.748375
CHOA CHU KANG ST 54,CHOA CHU KANG,1.3947504,103.7490377
CHOA CHU KANG CTRL,CHOA CHU KANG,1.381097,103.7467587
JLN TECK WHYE,CHOA CHU KANG,1.3799998,103.7576493
CHOA CHU KANG ST 62,CHOA CHU KANG,1.39885,103.746659
CHOA CHU KANG NTH 6,CHOA CHU KANG,1.3963312,103.7474905
CHOA CHU KANG DR,CHOA CHU KANG,1.3940292,103.7462951
CHOA CHU KANG NTH 5,CHOA CHU KANG,1.3919048,103.7467749
CHOA CHU KANG ST 52,CHOA CHU KANG,1.3948713,103.743962
CHOA CHU KANG AVE 2,CHOA CHU KANG,1.3783588,103.7427563
CLEMENTI WEST ST 2,CLEMENTI,1.3036513,103.7627819
WEST COAST RD,CLEMENTI,1.3068773,103.7601463
CLEMENTI WEST ST 1,CLEMENTI,1.3047221,103.7666794
CLEMENTI AVE 4,CLEMENTI,1.3185546,103.7660885
CLEMENTI AVE 5,CLEMENTI,1.317268,103.7680375
CLEMENTI ST 11,CLEMENTI,1.3221737,103.7705122
CLEMENTI AVE 2,CLEMENTI,1.3114847,103.7675701
CLEMENTI AVE 3,CLEMENTI,1.313797,103.7634959
CLEMENTI AVE 1,CLEMENTI,1.3102836,103.7685092
C'WEALTH AVE WEST,CLEMENTI,1.3036513,103.7627819
CIRCUIT RD,GEYLANG,1.3263918,103.8883199
BALAM RD,GEYLANG,1.3299307,103.8866234
MACPHERSON LANE,GEYLANG,1.3319149,103.8851893
EUNOS CRES,GEYLANG,1.3215095,103.9037357
UBI AVE 1,GEYLANG,1.3262572,103.8980834
HAIG RD,GEYLANG,1.3113354,103.8968457
OLD AIRPORT RD,GEYLANG,1.3077797,103.8859687
GEYLANG EAST AVE 1,GEYLANG,1.3171749,103.8853632
SIMS DR,GEYLANG,1.3181336,103.8789386
PIPIT RD,GEYLANG,1.3237103,103.8869211
GEYLANG EAST CTRL,GEYLANG,1.3189985,103.8868693
EUNOS RD 5,GEYLANG,1.3204327,103.8961606
CASSIA CRES,GEYLANG,1.3098201,103.8842296
BUANGKOK CRES,HOUGANG,1.3838329,103.8806246
HOUGANG AVE 3,HOUGANG,1.3527672,103.8908706
HOUGANG AVE 8,HOUGANG,1.3746983,103.8882516
HOUGANG AVE 1,HOUGANG,1.3544184,103.889824
HOUGANG AVE 5,HOUGANG,1.3673384,103.8963423
HOUGANG ST 61,HOUGANG,1.3747019,103.8863784
HOUGANG ST 11,HOUGANG,1.3519335,103.8801928
HOUGANG AVE 7,HOUGANG,1.3673872,103.8992095
HOUGANG AVE 4,HOUGANG,1.3713668,103.8879925
HOUGANG AVE 2,HOUGANG,1.3681714,103.884852
LOR AH SOO,HOUGANG,1.3514894,103.8848211
HOUGANG ST 92,HOUGANG,1.3732079,103.8796857
HOUGANG ST 52,HOUGANG,1.3767515,103.8894006
HOUGANG AVE 10,HOUGANG,1.3730673,103.8918396
HOUGANG ST 51,HOUGANG,1.3801872,103.8878715
UPP SERANGOON RD,HOUGANG,1.363787,103.8888817
HOUGANG CTRL,HOUGANG,1.3713044,103.89205
HOUGANG ST 91,HOUGANG,1.3771029,103.8821387
BUANGKOK LINK,HOUGANG,1.382969,103.8823136
HOUGANG ST 31,HOUGANG,1.36277,103.8895561
PANDAN GDNS,JURONG EAST,1.3202807,103.7478726
TEBAN GDNS RD,JURONG EAST,1.3219988,103.7414998
JURONG EAST ST 24,JURONG EAST,1.3434443,103.7401856
JURONG EAST ST 21,JURONG EAST,1.3369679,103.7433629
JURONG EAST AVE 1,JURONG EAST,1.3441277,103.7347086
JURONG EAST ST 13,JURONG EAST,1.3370334,103.7372944
JURONG EAST ST 32,JURONG EAST,1.3470214,103.7338564
TOH GUAN RD,JURONG EAST,1.3363443,103.7475947
JURONG WEST ST 93,JURONG WEST,1.3381307,103.6930683
BOON LAY AVE,JURONG WEST,1.3470152,103.7103715
HO CHING RD,JURONG WEST,1.3344034,103.7240884
BOON LAY DR,JURONG WEST,1.3438613,103.712868
TAO CHING RD,JURONG WEST,1.332941,103.7240581
JURONG WEST ST 91,JURONG WEST,1.3418091,103.6898549
JURONG WEST ST 42,JURONG WEST,1.3531391,103.7216459
JURONG WEST ST 92,JURONG WEST,1.3412762,103.6901993
BOON LAY PL,JURONG WEST,1.3468417,103.7128492
JURONG WEST ST 52,JURONG WEST,1.3481732,103.7177635
JURONG WEST ST 81,JURONG WEST,1.3471387,103.6951024
YUNG SHENG RD,JURONG WEST,1.3349158,103.7212688
JURONG WEST ST 25,JURONG WEST,1.35401,103.7038569
JURONG WEST ST 73,JURONG WEST,1.3470654,103.6998098
